,Function,N_instances,N_features,Time,Device
0,magnitude_difference,2000,1000,0.008440207690000534,CPU
1,concentricity_difference,2000,1000,0.021389445289969444,CPU
2,uniformity_difference,2000,1000,4.368812043219805,CPU
3,rsm_norm_diff,2000,1000,3.277099819853902,CPU
4,eigenspace_overlap_score,2000,1000,3.383854079991579,CPU
5,aligned_cossim,2000,1000,0.891196621581912,CPU
6,procrustes_size_and_shape_distance,2000,1000,0.7672310061752796,CPU
7,orthogonal_procrustes_centered_and_normalized,2000,1000,0.7181099485605955,CPU
8,permutation_procrustes,2000,1000,0.5034767799079418,CPU
9,representational_similarity_analysis,2000,1000,6.558915903791785,CPU
10,centered_kernel_alignment,2000,1000,0.07932129502296448,CPU
11,hard_correlation_match,2000,1000,2.6042958609759808,CPU
12,soft_correlation_match,2000,1000,2.4330223314464092,CPU
13,distance_correlation,2000,1000,2.9463266506791115,CPU
14,orthogonal_angular_shape_metric_centered,2000,1000,0.8293721433728933,CPU
15,jaccard_similarity,2000,1000,1.371328568086028,CPU
16,second_order_cosine_similarity,2000,1000,4.590012647211552,CPU
17,rank_similarity,2000,1000,0.570678835734725,CPU
18,gulp,2000,1000,0.8821409773081541,CPU
19,svcca,2000,1000,2.418033916503191,CPU
