,accuracy,mean_cohens_kappa,std_cohens_kappa,n
0,0.4003003003003003,-0.01022279355674982,0.0013024305732206518,3
1,0.4009009009009009,-0.008889161515980959,0.00017504720017313957,2
2,0.40150150150150155,-0.010123148560523987,0.0,1
3,0.4021021021021021,-0.012276704888790846,0.0025162030942738056,2
4,0.4027027027027027,-0.008011971833184361,0.00045251171104609966,2
5,0.40330330330330333,-0.008757245913147926,0.0015696233631057389,5
6,0.40390390390390396,-0.008796686306595802,0.0007977541536092758,2
7,0.40450450450450454,-0.00811583618633449,0.0027373807327864073,4
8,0.4051051051051051,-0.008118481375277042,0.001778179477168315,3
9,0.40570570570570574,-0.009683324489742517,0.002782092895358801,2
10,0.4063063063063063,,,0
11,0.4069069069069069,-0.007889554525415102,0.0011886390966572742,3
12,0.4075075075075075,-0.008438379503786564,7.341988384723663e-05,2
13,0.40810810810810816,-0.008852053713053466,0.0009577333288542423,5
14,0.40870870870870873,-0.007948348997160792,0.0020031689200550318,2
15,0.4093093093093093,-0.009964600205421448,0.0011276968221987451,3
16,0.40990990990990994,-0.009636972448788583,0.00181618566925605,4
17,0.4105105105105106,-0.008546856231987476,0.002081950195133686,2
18,0.4111111111111111,-0.011735483072698116,0.0,1
19,0.4117117117117117,-0.010058349929749966,0.0,1
20,0.41231231231231236,-0.007974232081323862,0.001466872924208386,3
21,0.41291291291291293,-0.00980690447613597,0.0016981014050543308,2
22,0.4135135135135135,-0.010595203377306461,0.0,1
23,0.41411411411411414,-0.005257150391116738,0.002793504623696208,2
24,0.41471471471471477,-0.00714794360101223,0.0014923693408565642,3
25,0.41531531531531535,-0.009344465751200914,0.0017485180409509862,5
26,0.4159159159159159,-0.008340686559677124,8.477270603179932e-05,2
27,0.41651651651651656,-0.006210161780472845,0.0015934976589569675,4
28,0.41711711711711713,-0.008221582820018133,0.0003733043422197736,3
29,0.4177177177177177,-0.007014610106125474,2.2701220586895943e-05,2
30,0.41831831831831834,-0.0071590870308379335,0.001666582391852987,3
31,0.41891891891891897,-0.004635634211202462,0.0012305922768214173,3
32,0.41951951951951955,-0.0062613149639219046,0.0009929990380272838,4
33,0.4201201201201201,-0.007100428454577923,7.296958938241005e-05,2
34,0.42072072072072075,-0.007435909705236554,0.0016910768565366688,4
35,0.42132132132132133,-0.006060050955663125,0.002341086243490171,3
36,0.4219219219219219,-0.008166590705513954,0.0019130082800984383,2
37,0.42252252252252254,-0.00796924449969083,0.002098728015737127,4
38,0.42312312312312317,-0.00874233280774206,0.0011775635763815002,4
39,0.42372372372372374,-0.0072942390106618404,0.00011303415521979332,2
